"trainer/global_step","custom-generated - _step","custom-generated - _step__MIN","custom-generated - _step__MAX","custom-generated - val/total/m_iou","custom-generated - val/total/m_iou__MIN","custom-generated - val/total/m_iou__MAX"
"505","1149","1149","1149","0.4766755998134613","0.4766755998134613","0.4766755998134613"
"516","1174","1174","1174","0.43880146741867065","0.43880146741867065","0.43880146741867065"
"527","1199","1199","1199","0.4851347506046295","0.4851347506046295","0.4851347506046295"
"538","1224","1224","1224","0.5652972459793091","0.5652972459793091","0.5652972459793091"
"549","1249","1249","1249","0.5529192090034485","0.5529192090034485","0.5529192090034485"
"560","1274","1274","1274","0.3622528612613678","0.3622528612613678","0.3622528612613678"
"571","1299","1299","1299","0.4622262418270111","0.4622262418270111","0.4622262418270111"
"582","1324","1324","1324","0.4177977442741394","0.4177977442741394","0.4177977442741394"
"593","1349","1349","1349","0.41287240386009216","0.41287240386009216","0.41287240386009216"
"604","1374","1374","1374","0.3331860899925232","0.3331860899925232","0.3331860899925232"
"615","1399","1399","1399","0.37595197558403015","0.37595197558403015","0.37595197558403015"
"626","1424","1424","1424","0.42529597878456116","0.42529597878456116","0.42529597878456116"
"637","1449","1449","1449","0.39938756823539734","0.39938756823539734","0.39938756823539734"
"648","1474","1474","1474","0.36083173751831055","0.36083173751831055","0.36083173751831055"
"659","1499","1499","1499","0.3817830979824066","0.3817830979824066","0.3817830979824066"
"670","1524","1524","1524","0.459414005279541","0.459414005279541","0.459414005279541"
"681","1549","1549","1549","0.4664462208747864","0.4664462208747864","0.4664462208747864"
"692","1574","1574","1574","0.4341040551662445","0.4341040551662445","0.4341040551662445"
"703","1599","1599","1599","0.4001210629940033","0.4001210629940033","0.4001210629940033"
"714","1624","1624","1624","0.4147059917449951","0.4147059917449951","0.4147059917449951"
"725","1649","1649","1649","0.41178184747695923","0.41178184747695923","0.41178184747695923"
"736","1674","1674","1674","0.42912912368774414","0.42912912368774414","0.42912912368774414"
"747","1699","1699","1699","0.5153031349182129","0.5153031349182129","0.5153031349182129"
"758","1724","1724","1724","0.4722214639186859","0.4722214639186859","0.4722214639186859"
"769","1749","1749","1749","0.5155568718910217","0.5155568718910217","0.5155568718910217"
"780","1774","1774","1774","0.47464650869369507","0.47464650869369507","0.47464650869369507"
"791","1799","1799","1799","0.46367931365966797","0.46367931365966797","0.46367931365966797"
"802","1824","1824","1824","0.49270153045654297","0.49270153045654297","0.49270153045654297"
"813","1849","1849","1849","0.4843762516975403","0.4843762516975403","0.4843762516975403"
"824","1874","1874","1874","0.4645763337612152","0.4645763337612152","0.4645763337612152"
"835","1899","1899","1899","0.4416496157646179","0.4416496157646179","0.4416496157646179"
"846","1924","1924","1924","0.433543860912323","0.433543860912323","0.433543860912323"
"857","1949","1949","1949","0.4803657531738281","0.4803657531738281","0.4803657531738281"
"868","1974","1974","1974","0.4695518910884857","0.4695518910884857","0.4695518910884857"
"879","1999","1999","1999","0.48551082611083984","0.48551082611083984","0.48551082611083984"
"890","2024","2024","2024","0.4981050491333008","0.4981050491333008","0.4981050491333008"
"901","2049","2049","2049","0.4793214797973633","0.4793214797973633","0.4793214797973633"
"912","2074","2074","2074","0.4745903015136719","0.4745903015136719","0.4745903015136719"
"923","2099","2099","2099","0.44726237654685974","0.44726237654685974","0.44726237654685974"
"934","2124","2124","2124","0.49565544724464417","0.49565544724464417","0.49565544724464417"
"945","2149","2149","2149","0.4867570400238037","0.4867570400238037","0.4867570400238037"
"956","2174","2174","2174","0.477456271648407","0.477456271648407","0.477456271648407"
"967","2199","2199","2199","0.48294392228126526","0.48294392228126526","0.48294392228126526"
"978","2224","2224","2224","0.4685025215148926","0.4685025215148926","0.4685025215148926"
"989","2249","2249","2249","0.4810999929904938","0.4810999929904938","0.4810999929904938"
"1000","2274","2274","2274","0.48183202743530273","0.48183202743530273","0.48183202743530273"
"1011","2299","2299","2299","0.4862774908542633","0.4862774908542633","0.4862774908542633"
"1022","2324","2324","2324","0.501205563545227","0.501205563545227","0.501205563545227"
"1033","2349","2349","2349","0.5044309496879578","0.5044309496879578","0.5044309496879578"
"1044","2374","2374","2374","0.48694944381713867","0.48694944381713867","0.48694944381713867"
"1055","2399","2399","2399","0.5051441788673401","0.5051441788673401","0.5051441788673401"
"1066","2424","2424","2424","0.5002420544624329","0.5002420544624329","0.5002420544624329"
"1077","2449","2449","2449","0.5067211985588074","0.5067211985588074","0.5067211985588074"
"1088","2474","2474","2474","0.510844349861145","0.510844349861145","0.510844349861145"
"1099","2499","2499","2499","0.5051267743110657","0.5051267743110657","0.5051267743110657"
